target,n_train,budget_k,cut_M,is_full,hits,ceiling,hits_full_headft,hits_stage1_only,n_active_total,gpu_hours
624273-588549,40,500,2500,False,10,26,10,4,150,0.1388888888888889
624273-588549,40,500,5000,False,9,41,10,4,150,0.2777777777777778
624273-588549,40,500,10000,False,10,62,10,4,150,0.5555555555555556
624273-588549,40,500,25000,False,10,106,10,4,150,1.3888888888888888
624273-588549,40,500,49687,True,10,150,10,4,150,2.7603888888888894
624273-588549,100,100,500,False,3,4,4,0,150,0.027777777777777776
624273-588549,100,100,1000,False,4,10,4,0,150,0.05555555555555555
624273-588549,100,100,2500,False,5,26,4,0,150,0.1388888888888889
624273-588549,100,100,5000,False,5,41,4,0,150,0.2777777777777778
624273-588549,100,100,10000,False,4,62,4,0,150,0.5555555555555556
624273-588549,100,100,25000,False,4,106,4,0,150,1.3888888888888888
624273-588549,100,100,49687,True,4,150,4,0,150,2.7603888888888894
624273-588549,100,500,500,False,4,4,12,4,150,0.027777777777777776
624273-588549,100,500,1000,False,10,10,12,4,150,0.05555555555555555
624273-588549,100,500,2500,False,10,26,12,4,150,0.1388888888888889
624273-588549,100,500,5000,False,11,41,12,4,150,0.2777777777777778
624273-588549,100,500,10000,False,12,62,12,4,150,0.5555555555555556
624273-588549,100,500,25000,False,12,106,12,4,150,1.3888888888888888
624273-588549,100,500,49687,True,12,150,12,4,150,2.7603888888888894
624273-588549,300,100,500,False,2,4,2,0,150,0.027777777777777776
624273-588549,300,100,1000,False,1,10,2,0,150,0.05555555555555555
624273-588549,300,100,2500,False,1,26,2,0,150,0.1388888888888889
624273-588549,300,100,5000,False,1,41,2,0,150,0.2777777777777778
624273-588549,300,100,10000,False,2,62,2,0,150,0.5555555555555556
624273-588549,300,100,25000,False,2,106,2,0,150,1.3888888888888888
624273-588549,300,100,49687,True,2,150,2,0,150,2.7603888888888894
624273-588549,300,500,500,False,4,4,5,4,150,0.027777777777777776
624273-588549,300,500,1000,False,9,10,5,4,150,0.05555555555555555
624273-588549,300,500,2500,False,8,26,5,4,150,0.1388888888888889
624273-588549,300,500,5000,False,6,41,5,4,150,0.2777777777777778
624273-588549,300,500,10000,False,6,62,5,4,150,0.5555555555555556
624273-588549,300,500,25000,False,5,106,5,4,150,1.3888888888888888
624273-588549,300,500,49687,True,5,150,5,4,150,2.7603888888888894
1053173-743445,40,100,500,False,9,21,10,4,134,0.027777777777777776
1053173-743445,40,100,1000,False,9,35,10,4,134,0.05555555555555555
1053173-743445,40,100,2500,False,9,56,10,4,134,0.1388888888888889
1053173-743445,40,100,5000,False,10,72,10,4,134,0.2777777777777778
1053173-743445,40,100,10000,False,10,97,10,4,134,0.5555555555555556
1053173-743445,40,100,25000,False,10,122,10,4,134,1.3888888888888888
1053173-743445,40,100,49695,True,10,134,10,4,134,2.7608333333333333
1053173-743445,40,500,500,False,21,21,22,21,134,0.027777777777777776
1053173-743445,40,500,1000,False,22,35,22,21,134,0.05555555555555555
1053173-743445,40,500,2500,False,24,56,22,21,134,0.1388888888888889
1053173-743445,40,500,5000,False,24,72,22,21,134,0.2777777777777778
1053173-743445,40,500,10000,False,23,97,22,21,134,0.5555555555555556
1053173-743445,40,500,25000,False,22,122,22,21,134,1.3888888888888888
1053173-743445,40,500,49695,True,22,134,22,21,134,2.7608333333333333
1053173-743445,100,100,500,False,5,21,8,4,134,0.027777777777777776
1053173-743445,100,100,1000,False,9,35,8,4,134,0.05555555555555555
1053173-743445,100,100,2500,False,8,56,8,4,134,0.1388888888888889
1053173-743445,100,100,5000,False,8,72,8,4,134,0.2777777777777778
1053173-743445,100,100,10000,False,8,97,8,4,134,0.5555555555555556
1053173-743445,100,100,25000,False,8,122,8,4,134,1.3888888888888888
1053173-743445,100,100,49695,True,8,134,8,4,134,2.7608333333333333
1053173-743445,100,500,500,False,21,21,25,21,134,0.027777777777777776
1053173-743445,100,500,1000,False,25,35,25,21,134,0.05555555555555555
1053173-743445,100,500,2500,False,25,56,25,21,134,0.1388888888888889
1053173-743445,100,500,5000,False,25,72,25,21,134,0.2777777777777778
1053173-743445,100,500,10000,False,25,97,25,21,134,0.5555555555555556
1053173-743445,100,500,25000,False,25,122,25,21,134,1.3888888888888888
1053173-743445,100,500,49695,True,25,134,25,21,134,2.7608333333333333
1053173-743445,300,100,500,False,8,21,12,4,134,0.027777777777777776
1053173-743445,300,100,1000,False,10,35,12,4,134,0.05555555555555555
1053173-743445,300,100,2500,False,12,56,12,4,134,0.1388888888888889
1053173-743445,300,100,5000,False,12,72,12,4,134,0.2777777777777778
1053173-743445,300,100,10000,False,12,97,12,4,134,0.5555555555555556
1053173-743445,300,100,25000,False,12,122,12,4,134,1.3888888888888888
1053173-743445,300,100,49695,True,12,134,12,4,134,2.7608333333333333
1053173-743445,300,500,500,False,21,21,23,21,134,0.027777777777777776
1053173-743445,300,500,1000,False,25,35,23,21,134,0.05555555555555555
1053173-743445,300,500,2500,False,26,56,23,21,134,0.1388888888888889
1053173-743445,300,500,5000,False,25,72,23,21,134,0.2777777777777778
1053173-743445,300,500,10000,False,23,97,23,21,134,0.5555555555555556
1053173-743445,300,500,25000,False,23,122,23,21,134,1.3888888888888888
1053173-743445,300,500,49695,True,23,134,23,21,134,2.7608333333333333
